scenario,old_pricing_model,new_pricing_model,old_joint_feasible_solution_exists,new_joint_feasible_solution_exists,old_average_service_access_performance,new_average_service_access_performance,old_minimum_service_access_performance,new_minimum_service_access_performance,old_profit_compliant_station_count,new_profit_compliant_station_count,old_annual_government_subsidy,new_annual_government_subsidy,old_annual_net_profit,new_annual_net_profit,old_converged,new_converged
S0,station_level_uniform_premium,service_level_station_service_pricing,0,1,0.765506,0.74701,0.747255,0.705122,2,3,2263000.0,2263000.0,2878635.72,1439447.96,1,1
S4,station_level_uniform_premium,service_level_station_service_pricing,0,0,0.717989,0.717989,0.638213,0.638213,0,0,1898000.0,1898000.0,2957653.27,2957653.27,1,0
